id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,15.9994,0
4,14.00674,0
5,15.9994,0
6,12.0107,0
7,12.0107,0
8,12.0107,0
9,12.0107,0
10,12.0107,0
11,14.00674,0
12,1.00794,0
13,1.00794,0
14,1.00794,0
15,1.00794,0
16,0,1.3875678686104
17,0,1.17362337229624
18,0,1.3879290291654
19,0,1.41251439284703
20,0,1.39205442422342
21,0,1.19214988990479
22,0,1.17371235402887
23,0,1.39217453647163
24,0,1.19223219634432
25,0,1.38793398257986
26,0,1.41251439284702
27,0,1.38753513108678
28,0,0.929858752714626
29,0,0.930143483555091
30,0,0.930067368527678
31,0,0.929820428900119
